ISO,total_SCI,total_edges,total_nodes,average_indegree,average_outdegree,average_SCI,std_SCI,global_clustering,average_betweenness,max_betweenness,average_closeness,max_closeness
ABW,1.1264841e7,1,1,1.0,1.0,1.1264841e7,NaN,1.0,0.0,0.0,0.0,0.0
AGO,4.5622269e8,171,18,18.0,18.0,1.4080947222222222e6,4.901615083252903e6,1.0,0.010620915032679737,0.1838235294117647,3.038859274148512e-6,4.25186869629202e-6
ALB,8.7388987e7,78,12,12.0,12.0,606867.9652777778,2.05943239879124e6,1.0,0.03636363636363636,0.14545454545454545,1.1072307235699689e-5,1.3290738530092648e-5
AND,1.2506957e7,1,1,1.0,1.0,1.2506957e7,NaN,1.0,0.0,0.0,0.0,0.0
ARE,6.419546e6,36,8,8.0,8.0,100305.40625,475351.143048399,1.0,0.005952380952380952,0.047619047619047616,4.391183772719477e-5,5.456302809216475e-5
ARG,7.216719e7,300,24,24.0,24.0,125290.26041666667,630436.6805627142,1.0,0.014986824769433462,0.11462450592885375,8.849059096654531e-5,0.0001104250885801254
ARM,7.5306716e7,66,11,11.0,11.0,622369.5537190082,1.8588781069586342e6,1.0,0.014141414141414142,0.11111111111111112,6.105217371028808e-6,7.551495535933414e-6
ASM,2.047319e7,1,1,1.0,1.0,2.047319e7,NaN,1.0,0.0,0.0,0.0,0.0
ATG,2.2272862e7,1,1,1.0,1.0,2.2272862e7,NaN,1.0,0.0,0.0,0.0,0.0
AUS,1.7537394e8,45,9,9.0,9.0,2.1651103703703703e6,1.840274832774767e7,1.0,0.04365079365079365,0.17857142857142855,5.0209682603025346e-5,6.693664446601292e-5
AUT,7.36395802e8,630,35,35.0,35.0,601139.4302040816,4.916194234080849e6,1.0,0.015431627196333076,0.4028520499108734,2.5041588795744673e-5,3.852228514195462e-5
AZE,9.0980218e7,55,10,10.0,10.0,909802.18,3.8386696749075716e6,1.0,0.09722222222222224,0.8611111111111112,3.0734615647524504e-5,4.893671395403211e-5
BDI,1.163664275e9,153,17,17.0,17.0,4.026519982698962e6,1.1846660530685669e7,1.0,0.015196078431372547,0.175,6.956074457886987e-7,9.019085907751549e-7
BEL,4.10133776e8,990,44,44.0,44.0,211845.95867768594,1.048868655359463e6,1.0,0.017114668277458975,0.15282392026578073,0.0001497454734414827,0.00020207526598744314
BEN,1.53114693e8,78,12,12.0,12.0,1.0632964791666667e6,2.854627385672326e6,1.0,0.031818181818181815,0.23636363636363636,3.620271085909464e-6,4.604471695475311e-6
BFA,2.31891326e8,91,13,13.0,13.0,1.3721380236686391e6,3.6093921577666034e6,1.0,0.023310023310023305,0.1818181818181818,2.3601602655354977e-6,3.1171041479045135e-6
BGD,2.0283171e8,2080,64,64.0,64.0,49519.46044921875,302665.3775795942,1.0,0.003536226318484383,0.0670762928827445,8.039068369202443e-5,0.0001042730431011796
BGR,3.07045123e8,406,28,28.0,28.0,391639.1875,1.721453480902964e6,1.0,0.01851851851851852,0.3247863247863248,1.651797533481775e-5,2.4555187328795777e-5
BHR,4.745795e6,15,5,5.0,5.0,189831.8,85011.25416525744,1.0,0.0,0.0,6.6444378829389964e-6,7.647657140235089e-6
BHS,7.26658e6,1,1,1.0,1.0,7.26658e6,NaN,1.0,0.0,0.0,0.0,0.0
BIH,2.0784312e7,6,3,3.0,3.0,2.309368e6,5.432665075869071e6,1.0,0.3333333333333333,1.0,5.3186479158026235e-6,6.802420301143147e-6
BLR,3.49455e6,21,6,6.0,6.0,97070.83333333333,167405.94912803173,1.0,0.0,0.0,3.9747600452978785e-5,4.69792351780513e-5
BLZ,5.890595e6,1,1,1.0,1.0,5.890595e6,NaN,1.0,0.0,0.0,0.0,0.0
BMU,2.0499654e7,1,1,1.0,1.0,2.0499654e7,NaN,1.0,0.0,0.0,0.0,0.0
BOL,2.8078802e7,45,9,9.0,9.0,346651.8765432099,1.331639588659638e6,1.0,0.047619047619047616,0.14285714285714285,2.142540216417929e-5,2.4078616683471533e-5
BRA,2.8426688e7,378,27,27.0,27.0,38994.08504801097,258006.57073529382,1.0,0.017321937321937323,0.32,0.0003465519887478202,0.0005211151864991081
BRB,7.377574e6,1,1,1.0,1.0,7.377574e6,NaN,1.0,0.0,0.0,0.0,0.0
