nodeID_from,nodeID_to,country_name,country_ISO3,scaled_sci
4063,4063,Sierra Leone,SLE,12725048
4063,4064,Sierra Leone,SLE,1204225
4063,4065,Sierra Leone,SLE,2305748
4063,4066,Sierra Leone,SLE,1528455
4064,4063,Sierra Leone,SLE,1204225
4064,4064,Sierra Leone,SLE,13485239
4064,4065,Sierra Leone,SLE,1338240
4064,4066,Sierra Leone,SLE,1940756
4065,4063,Sierra Leone,SLE,2305748
4065,4064,Sierra Leone,SLE,1338240
4065,4065,Sierra Leone,SLE,13400395
4065,4066,Sierra Leone,SLE,1711791
4066,4063,Sierra Leone,SLE,1528455
4066,4064,Sierra Leone,SLE,1940756
4066,4065,Sierra Leone,SLE,1711791
4066,4066,Sierra Leone,SLE,1983960
